Disease,DOID,Category,Description,Symptoms,Treatment
Influenza,DOID:8469,Infectious,A viral infectious disease located in the respiratory tract,Fever;Cough;Headache;SoreThroat;Fatigue;Chills,Oseltamivir;Rest;Fluids
COVID19,DOID:0080600,Infectious,A coronavirus infectious disease characterized by respiratory symptoms,Fever;Cough;ShortnessOfBreath;Fatigue;LossOfTaste;Headache,SupportiveCare;Antivirals;Vaccination
Tuberculosis,DOID:399,Infectious,A bacterial infectious disease caused by Mycobacterium tuberculosis,Cough;Fever;NightSweats;WeightLoss;Fatigue;ChestPain,IsoniazidRifampin;Pyrazinamide;Ethambutol
Pneumonia,DOID:552,Infectious,Inflammation of the lungs caused by bacterial or viral infection,Fever;Cough;ShortnessOfBreath;ChestPain;Fatigue;Chills,Antibiotics;Oxygen;SupportiveCare
Dengue,DOID:12205,Infectious,A mosquito-borne viral disease causing severe flu-like illness,Fever;Headache;SkinRash;JointPain;Fatigue;Nausea,SupportiveCare;Fluids;PainRelief
Malaria,DOID:12365,Infectious,A parasitic disease transmitted by Anopheles mosquitoes,Fever;Chills;Headache;Fatigue;NightSweats;Vomiting,Artemisinin;Chloroquine;Primaquine
Cholera,DOID:1498,Infectious,A bacterial intestinal infection causing severe dehydration,WateryDiarrhea;Vomiting;Dehydration;MuscleCramps;WeightLoss;Fatigue,OralRehydration;Antibiotics;IVFluids
Chickenpox,DOID:8659,Infectious,A viral disease caused by varicella-zoster virus with itchy blisters,SkinRash;Fever;Fatigue;Itching;Headache;LossOfAppetite,Acyclovir;AntihistamineCream;Rest
Typhoid,DOID:13258,Infectious,A bacterial disease caused by Salmonella typhi transmitted via food,Fever;Headache;AbdominalPain;Fatigue;SkinRash;Constipation,Ciprofloxacin;Ceftriaxone;Fluids
Hepatitis,DOID:2237,Infectious,Inflammatory liver disease caused by viral infection,Jaundice;Fatigue;AbdominalPain;Nausea;LossOfAppetite;DarkUrine,AntiviralTherapy;Rest;Fluids
Measles,DOID:8622,Infectious,A highly contagious viral disease causing rash and fever,Fever;SkinRash;Cough;Conjunctivitis;Headache;Fatigue,SupportiveCare;VitaminA;Rest
Mumps,DOID:10264,Infectious,A viral infection causing swelling of salivary glands,SwollenGlands;Fever;Headache;Fatigue;MuscleAches;LossOfAppetite,SupportiveCare;PainRelief;Rest
